0	What is the goal of the IGADD summit?
1	Who is President Daniel arap Moi's guest of honor?
2	What is the name of President 'Umar al-Bashir's host in Nairobi?
3	Who will attend the IGADD summit?
4	What is the host of the summit where President 'Umar al-Bashir was received by the host?
5	Who aims at restoring peace in war ravaged southern Sudan?
6	Who is attending the summit?
7	Who will President al-Bashir meet on his arrival?
8	What summit did President al-Bashir arrive for?
9	What summit did President 'Umar al-Bashir attend?
10	What's the main task of macroeconomic controls?
11	Which of the following is NOT a guiding principle of macro-controls?
12	What is the main task of macro-controls?Options:A To maintain an overall balance of supply and demand.B To ensure social demand is balanced.C To prevent overall social demand from rising too rapidly.D To keep money supply and credit under control.Answer:B
13	What does the "overall balance of supply and demand" refer to?
14	What was the main task of macroeconomic controls?
15	What does Chen Jinhua think is the key to achieving the country's development goals in 1994?Options:A Increasing effective supply.B Controlling consumer demand.C Improving the market monitoring and controlling system.D Improving the market regulation and tightening supervision over prices and market order.Answer:B
16	How does China maintain an overall balance of supply and demand?Options:A By increasing effective supply and preventing overall social demand from rising too rapidly.B By tightening budgetary restraint.C By exercising strict control over investment in fixed assets.D By rationally controlling the growth of consumer demand.Answer:C
17	What is the main task of macro-controls?Options:A Maintain an overall balance of supply and demand.B Balance the growth of social demand.C Increase effective supply and prevent overall social demand from rising too rapidly.D Increase effective supply and prevent overall social demand from rising too rapidly.Answer:B
18	According to the senior official what is the most important macro-control target in 1994?
19	What is the main task of macroeconomic controls?
20	What does the article refer to?
21	What was the title of the letter that was sent by President Kim Il-song to the national agricultural conference?
22	What was the topic of the letter from the great leader to the national agricultural conference?
23	What was reported by the Ugandan paper THE MONITOR?
24	Where did the paper JASGYN GAZRIN MEDE broadcast their summary of "For the Ultimate Solution of the Rural Question Under the Banner of the Socialist Rural Theses"?
25	Where was the study of Kim Il-song's chuche idea held?
26	What did the paper The Monitor report?
27	When and where was the letter sent by the great leader President Kim Il-song?
28	What are the two main ways to learn about North Korea's history?
29	What are the names of the Ugandan and Mongolian newspapers?
30	When did the occupiers issue the ultimatum?
31	Who is the commander in chief of the Suriname Liberation Front?
32	What was the name of the group who issued the ultimatum?
33	What has the SLF done with three of the six turbines?
34	When will the ultimatum expire?
35	Who is the commander in chief of the SLF?
36	The SLF shut down three of the turbines in order to what?
37	What is the main idea of the story?
38	What ultimatum did the occupiers of the Afobaka power station issue to the Surinamese Government?
39	What timezone is Paramaribo?
40	Who is the target of NATO?
41	What did the military magazines of the former JNA write about in 1990?
42	When did UNPROFOR and NATO information services discover the shells that the Serbs made?
43	The Serbian artillery shells can fire what?Options:A High-frequency radio signals.B Optical and sonar signals.C Infrared signals.D Neither.Answer:B
44	What type of missiles do the Serbs have planned to produce?
45	What's the main feature of the shells?Options:A They are filled with progressive powder.B They have "little ribs."C They have progressive pressure.D They have "narrow ribs"Answer:B
46	Why did NATO demand Bosnian Serbs to withdraw artillery-missile equipment?Options:A Because the massacre in Sarajevo.B Because of economic crisis.C Because of the "Smart" shells.D Because the shells are deadly.Answer:A
47	What is the main characteristic of the artillery shells?Options:A They have an extended range and increased destructive power.B They can be fired from common artillery pieces.C They are filled with the so-called progressive powder.D They can be guided by GPS and satellites.Answer:A
48	What do the Serbians call their "little ribs"?
49	What is the advantage of the shells with the "little ribs"?Options:A They can be fired from common artillery pieces.B They can fire from special guns and howitzer barrels.C They can increase the speed of a gun.D They can increase the pressure of gun powder.Answer:B
50	What does Sergey Popov say about his students?
51	What is the mayoralty doing with the air time?
52	According to Sergey Popov, why did the mayoralty read the data on each candidate on the radio?Options:A Because it is the way the city is used to do.B Because the city is divided into rayons.C Because the city has 750 candidates.D Because the city has very little air time.Answer:A
53	In the author's opinion, which of the following is the most important problem in St. Petersburg?
54	What is the main idea of this passage?
55	Which may be the best title of the passage?
56	What can the broadcasting network made available by the radio and television company be used for?
57	Who tries to use the resources made available by the radio and television company more efficiently?
58	Which way of using air time could be used more effectively?
59	Which of the following is NOT a reason why the mayoralty broadcasts information on candidates in different rayons of the city?
60	Where did the incident occur?
61	How many people were hurt?
62	How did they receive the bullets?
63	Which is not the title of the article?
64	What happened to the men's car after the car was attacked?
65	How many people were shot?
66	Which area has the curfew imposed?
67	What car was involved in this incident?
68	The bullets were fired by a ______.
69	How many bullets were fired from the car?
70	What is the main idea of this article?Options:A Reclamation process of BUNA AG.B Reclamation of Ilsenburg Copper Mill.C Reclamation of Zichov Great Hell.D Reclamation of BUNA AG.Answer:B
71	The Zichov Great Hell'' industrial dump was where?
72	Why does the government plan on executing three pioneering projects?
73	What project focuses on eliminating and controlling environmental pollutions at an industrial site?
74	What is the first pilot project mentioned?
75	What was one of the major causes for high level of contamination at the BUNA project?
76	What are the three pioneering pilot projects?
77	What is the reason for the three pilot projects to develop and test new technologies for cleansing heavily contaminated soils?Options:A There are no economically viable processes to cleanse heavily contaminated soils.B To develop safe analysis and inspection methods for locating and assessing hazards.C The current reclamation process is not suitable for the heavily contaminated soils.D No process of cleansing heavily contaminated soils exists to date.Answer:C
78	Several thousand tonnes of mercury cannot be accounted for. How does the BUNA project plan to address the problem?Options:A It will develop physical and thermal processes for demolishing the buildings and plant.B It will produce an analysis and inspection methods for locating and assessing hazards.C It will devise safe, environment-compatible, cost-effective methods for demolishing the buildings and plant.D None of the above.Answer:D
79	What caused BUNA to become polluted with mercury?
80	What diseases are threatening the Transcaucasian region?
81	How much is the aid in Euro?
82	What diseases have been brought to Russia by this epidemic?
83	Who is to help Russia with the cholera outbreak?
84	What is the purpose of vaccinating the population of the Federation and Transcaucasian republics?
85	What disease will be treated?
86	Who is providing the emergency humanitarian aid?
87	What disease is the European Community helping Russia to prevent?
88	What was the amount of money that EC will give to Russian people in order to prevent cholera outbreak?
89	How much of the total amount of aid will be distributed to vaccinate the population of the Federation and Transcaucasian republics?
90	What body is the government advising to disband?
91	Martin Lee Chu-ming said Chris Patten could appoint a new group of legislators who truly represent what views?
92	According to the news report, Chris Patten could dissolve which organ?
