0	If releasing these animals into the wild would kill them then surely it is humane to put them down after the experiment. [5]
1	We also have to consider the value of the animals and whether or not they would be better off in the wild after the experiment. For example, we know chimpanzees would be happier in a warm room. Therefore, after the experiment they would be better off if they were released in the wild.
2	The animal is not given a choice. It will always do whatever is in its best interest to remain in the experiment.
3	This raises ethical questions about whether it is okay to do animal testing.
4	The benefits of the experiment go beyond the short term for the experimented.
5	If releasing these animals into the wild would kill them then surely it is humane to put them down after the experiment. What then is the interest of the animal? If releasing these animals into the wild would kill them then surely it is humane to put them down after the experiment. It must also be remembered that the interest of the animal is not the main and is outweighed by the benefits to humans. [5]
6	The main benefit of the test is to be able to predict the outcome of experiments, thereby giving medical doctors and pharmaceutical companies the means to design drugs. If the animal dies then it was only used for this purpose.
7	But what then is in the interest of the animal? If releasing these animals into the wild would kill them then surely it is humane to put them down after the experiment. It must also be remembered that the interest of the animal is not the main and is outweighed by the benefits to humans.
8	The use of animal testing is carried out to find cures for diseases and the effects of drugs.
9	What then is the interest of the animal? If releasing these animals into the wild would kill them then surely it is humane to put them down after the experiment. It must also be remembered that the interest of the animal is not the main and is outweighed by the benefits to humans. [5]
10	Linking animal endangerment and poaching to terrorism as a justification for action unnecessarily securitises the issue. This will only serve to create a situation where state actors can use poaching as an excuse to exploit threats. As with the war on drugs and the war on terror, this power is apportioned to actors who are then capable of abusing it for the sake of national security.
11	Making the connection to terrorism gives a basis for action that does not exist at present. Those states that already have policies in place against poaching will be incentivized to protect endangered animals and to limit their negative impacts, rather than to protect human security as they do now.
12	If it is truly a terrorist group intent on committing violence, then it needs to be dealt with as a national security issue.
13	Linking animal endangerment and poaching to terrorism as a justification for action unnecessarily securitises the issue, in that it creates a situation where state actors can use poaching as an excuse to exploit threats.
14	Poaching does not pose a security threat
15	The link between the two threats is an apt one. Linking the threat of poaching to that of terrorism only exacerbates the current crisis and does nothing to address it.
16	Making a terrorism comparison will serve to inform decision makers that animal extinction is a matter of national security, and that this must be prioritised.
17	The fact that a large number of African states and civil society organisations are fighting this issue shows that there is sufficient power in human rights institutions to do so.
18	The comparison of animal endangerment to terrorism creates a dangerous precedent.
19	Linking animal endangerment and poaching to terrorism as a justification for action unnecessarily securiritises the issue. This will only serve to create a situation where state actors can use poaching as an excuse to exploit threats. As with the war on drugs and the war on terror, this power is apportioned to actors who are then capable of abusing it for the sake of national security.
20	South Africa has been very influential in this project.
21	It is too difficult to construct, that's why there should be a large effort to get it built.
22	The problem is not a construction problem.
23	The project would involve some significant investments but it could be completed with a little international help.
24	Construction will take an incalculable amount of time and resources.
25	Developing a hydro power station in DR Congo will require significant funds from developed countries to cover both the initial and ongoing costs of the power station.
26	This project is extremely important and will create significant employment and development opportunities.
27	If building the power plant is so difficult why does the government insist on building it?
28	The costs of construction of the plant are not insignificant. Construction costs are estimated to be at least USD 5 billion. This money would come from two sources, first the government and then the donor community.
29	The cost of constructing the dam is a huge expense and it will be a long time before the dam is generating electricity and making a profit for the government. The DR Congo is in a situation similar to that of countries like Bangladesh, Iraq, Afghanistan, and Sierra Leone in that it is a country with significant challenges.
30	It is morally reprehensible and morally wrong
31	Organ donation should only be done if the person wishes to do so
32	Sacrificing a parent for the benefit of their child is immoral
33	You have the choice, and you can opt out.
34	I'm not a parent I can't know for certain that the decisions I would make were what's best for my children.
35	It is wrong to sacrifice the elderly to save their children
36	The person is only doing this to make their child and their grandchildren happy and safe.
37	People do not want to do the wrong thing
38	I do not want to lose my offspring.
39	Those older than children are more likely to die earlier, so are less important for organ donation
40	Likewise, many people felt that this was a personal attack on them, even though they are only presenting a fictional account.
41	There is clearly a different threshold between the questions “do I like soap operas” and “do I appreciate having my beliefs excoriated on national TV?” The difficulty here is that many who took offence saw the programme as a direct attack on themselves personally, their beliefs and the others who shared their faith.
42	We should accept that there may be many people who believe in something, or have a certain level of respect for it.
43	Religious faiths are not based on scientific fact; many are highly questionable.
44	The problem here is that many who took offence saw the programme as a direct attack on themselves personally, their beliefs and the others who shared their faith.
45	But some members of the public who took offence did not see it as a direct attack.
46	It is difficult to see how any of this reflects the actual situation.
47	Of course, it is not as simple as saying that people take offence from being questioned, challenged or if they like their soap operas.
48	It's the right thing to do - we should respect the rights of other religions.
49	A programme like this, despite its political context, would be a comedy about the conflict between Christians and Muslims and many of the characters would be Muslims themselves.
50	Those who support the Church’s stance against homosexuality have little alternative but to follow their faith, which they have, in any case, rejected in favour of a moral one, and this is not a matter of choice.
51	A faith is a social construct.
52	The right of religion to be free is one of the most important values of the West.
53	Homophobia is the last respectable prejudice
54	Religious groups have, at times, supported the cause of homophobia and those that have attacked it deserve respect
55	The Bible has always condemned homosexuality as wrong, which has led to the rise of prejudice against homosexuals and lesbians.
56	These religious views are based on faulty reasoning.
57	The religious teachings of Islam are grounded in Islamic philosophy that is built on moral rationalism. The teachings of Islam do not promote violent or destructive acts. They encourage kindness, charity and humanism. They also promote respect for all.
58	Homophobic groups have a right to practice their religion, as long as they are not violent or discriminatory.
59	Homophobia is a deeply entrenched prejudice that has been used to divide, demonize and discriminate for centuries.
60	A ban on smoking in public places is unconstitutional.
61	This ban would be widely acceptable to all members of society.
62	It is likely that more will be exempt from the ban if it is found not to be beneficial
63	A ban on smoking in public places would not be easily accepted by all. The Save Our Pubs &amp; Clubs campaign wants to change the smoking ban so that more places are exempt; the Save Our Pubs &amp; Clubs website
64	It is easy to introduce bans on smoking in all public places, particularly when there are already bans in force in some countries.
65	The ban on smoking would not be so easy to introduce.
66	This ban would not be so easy to introduce A ban on smoking in all public places would not be easily accepted by all.
67	Smoking ban is being extended in England
68	This ban would not be so easy to introduce. The Save Our Pubs &amp; Clubs campaign wants to change the existing ban there so that more places are exempt; the Save Our Pubs &amp; Clubs campaign wants to change the smoking ban so that large venues can have a designated smoking area which can be avoided by non-smokers1.
69	The problem with this argument is that if a ban were not easy to introduce, then smokers would simply simply be denied access to smoking places.
70	Some people have skills that can easily be transferred
71	Many of the rural poor have no reason to believe their rural life is any better.
72	Those with access to cities and proper education move in informed decisions
73	Rural-urban migration is in fact a good thing because it brings the poor to the cities.
74	It is the nature of the poor to be drawn to the cities.
75	People have to move to cities because the only work is available in the city, and they must move because the opportunities of the city are greater than that of the countryside.
76	Cities don’t have to be the only place people can live, only a start point for those who are able to improve their situation through better education.
77	This makes the transition worse
78	The people are not making informed decisions
79	The migrations are not the result of informed decision making
80	The right to migrate can be withdrawn or limited but not completely eliminated.
81	This kind of argument underestimates the capacity of human potential. People in rural communities devote all their efforts and their creativity towards getting to the cities because they believe it is the best for them and their families. If they do not have this option, they can devote that energy to their community and make it grow to compete with the cities. It is then the duty of the government that imposes this restriction to support such commitments by giving them the right conditions to improve their situation by investing in rural areas as much as urban ones.
