0	What is the scientific name of koala?
1	What is the common name for Koalas?
2	What is the correct name for koala bear?
3	What is the scientific name of Koala?
4	What is koala's closest living relative?
5	What kind of animal is a koala?
6	What is the correct name for the koala?
7	What is the correct species name for Koalas?
8	What are the two extinct animals with a genus beginning with the letter "K"?
9	What is the scientific name of the koala?
10	What is the composition of olivine?
11	What does olivine consist of?
12	What kind of mineral is olivine?
13	What is the chemical formula for Olivine?
14	What is a nesosilicate?
15	What is the chemical formula of olivine?
16	How is olivine chemically structured?
17	What is the formula of Olivine?
18	What is the chemical formula of olivine?
19	Is olivine a form of silicate or a nesosilicate?
20	What is Bagdad?
21	What county is Bagdad, Arizona in?
22	What county is Bagdad in?
23	what county is bagdad in?
24	Where is the company town Bagdad?
25	Where is the place called Bagdad?
26	What state is Bagdad in?
27	When was the population of Bagdad?
28	What is the population of Bagdad AZ?
29	What is the name of the place where Bagdad is located?
30	When did Erving Goffman die?
31	Who is Erving Goffman?
32	What year did Erving Goffman die?
33	What is the profession of Erving Goffman?
34	When did Erving Goffman die?
35	Who is the most cited author in humanities and social sciences?
36	What was Erving Goffman occupation?
37	what is the website of the erving goffman
38	What is the order in which the members of the American Sociological Association are seated?
39	who was the most influential american sociologist of the twentieth century?
40	What city is Norrent-Fontes in?
41	What is the region Norrent-Fontes is located in?
42	Where in France is Norrent-Fontes?
43	Where is Norrent-Fontes?
44	What is the name of the region that Norrent-Fontes is part of?
45	Where is Norrent-Fontes?
46	What department is Norrent-Fontes in?
47	In which region is Norrent-Fontes located?
48	What department is Norrent-Fontes in?
49	Where is the town of Norrent-Fontes located?
50	What is the present population of Asahi, Japan?
51	What is the name of the place where Asahi was created?
52	How big was the area of Asahi?
53	What was the population of Asahi in 2003?
54	What district is Asahi, Okayama?
55	In what year was Asahi merged to create the town of Misaki?
56	What was the original name of the town that Asahi was merged with?
57	what year was Asahi-cho incorporated?
58	What was Asahi before it was merged?
59	What was the population of Asahi in 2005?
60	What is the elevation of Idyllwild Arts?
61	What is the height above sea level of Idyllwild Arts Foundation?
62	Where is Idyllwild Arts Academy located?
63	Idyllwild Arts Foundation, what is its website address?
64	Who was the founding board for Idyllwild Arts Foundation?
65	What is the Idyllwild Arts Foundation?
66	Idyllwild Arts Foundation is the parent organisation of what?
67	What is the location of Idyllwild Arts?
68	How many hours does it take to get to Idyllwild Arts Academy from Palm Springs, California?
69	What is Idyllwild School of Music and the Arts?
70	Is takin endangered?
71	What kind of goat is a takin?
72	What are the four subspecies of takin?
73	What is takin?
74	What is the English name of the takin?
75	what is the scientific name of takin?
76	What does the word takin mean?
77	Is a takin the same as a chamois?
78	What are the other names for a takin?
79	What is the english translation of budorcas taxicolor?
80	What computer was cloned by Sinclair Research?
81	What are the home computer clones of the Sinclair ZX80?
82	What is the name of the company that made the Sinclair zx80?
83	What is a list of clones of Sinclair Research's ZX80 and ZX81?
84	What were the Sinclair clones?
85	How many computers were Sinclair Research's ZX80 clones?
86	What company created a clone of the ZX80?
87	Which companies made ZX80 and ZX81 clones?
88	What are the clones of Sinclair Research's ZX80?
