0	When was Hurricane Charley over Orlando?
1	What is the maximum speed of Hurricane Charley in miles per hour?
2	What city that the hurricane hit first?
3	What were the winds speed of hurricane Charley when it made landfall in Cape Romain National Wildlife Refuge?
4	What were the peak sustained winds of Hurricane Charley?
5	Charley passed over what major city?
6	When did hurricane Charley last make landfall?
7	What was the highest sustained wind speed for hurricane Charley?
8	When did Charley make its final landfall?
9	What was the max mph Charley had when it made landfall?
10	What is Mr. Darcy's Father's name?
11	What does Mr. Darcy deprived George Wickham of?
12	What kind of hardship did Wickham suffer from Darcy?
13	Who does Elizabeth meet?
14	What was promised to Wickham?
15	What does Darcy's father do?
16	How does Mr. Darcy deprive Wickham?
17	Who does George Wickham tell Elizabeth's father is looking for his daughter?
18	What was the position Mr. Darcy has promised to George Wickham?
19	Who has caused Mr. Wickham hardship?
20	In what war did the Bahama Islands play an important role?
21	During World War II, what did the Allies centred their flight training and antisubmarine operations for the Caribbean in?
22	What military group used the Bahamas during WWII?
23	What was an issue during the time when the Allied forces had a training center in the Bahamas?
24	Where did the Allies have antisubmarine operations in the Caribbean during World War II?
25	During what war did allies use the bahamas as a base?
26	What did the Allies use the Bahamas for during WW II?
27	When was the Allies centred their flight training and antisubmarine operations for the Caribbean in the Bahamas?
28	What war was the Bahamas involved with?
29	What is the name of the group of islands in the Caribbean Sea that are located in the Bahamas?
30	When did Eddie Kotal become the first player scout?
31	Who was the first player scout?
32	What year did Eddie Kotal become the first player scout?
33	What is the first recorded player scout?
34	When did the NFL hire it's first player scout?
35	Who hired Eddie Kotal as the first player scout?
36	What was the first year in which the NFL introduced player scouts?
37	What is the first player scouts name?
38	What was the first person hired as a player scout?
39	Who was the first player scout in the NFL?
40	What is the safety structure for the site?
41	What is the armed force that ensures safety?
42	What is the name of the force that looks after the safety of Saint-Denis?
43	What army does Basel ensure fire safety for?
44	Who is responsible for the safety around the base?
45	Who is the commander of the French foreign legion?
46	Which military force looks after the fire safety of the base?
47	Who ensures fire safety and security at the air base?
48	The Paris Fire Brigade was started in what year?
49	Who ensures the security of the military bases of Paris?
50	What American textbook was titled "Elementa Philosophica"?
51	When did Franklin solicit, print, and promote an American textbook of moral philosophy from Samuel Johnson?
52	What did Franklin, Johnson, and Smith create?
53	What was the new-model plan called?
54	Who were the members of educational triumvirate?
55	Who was Dr. Benjamin Franklin's trio?
56	Who was Benjamin Franklin's friend?
57	What was the name of the book Franklin solicited, printed, and promoted that replaced courses in denominational divinity?
58	Who is the "educational triumvirate" of Dr. Benjamin Franklin, the American Dr. Samuel Johnson of Stratford, Connecticut, and the immigrant Scottish schoolteacher Dr. William Smith?
59	who created what Bishop James Madison, president of the College of William &amp; Mary, called a "new-model" plan or style of American college?
60	What was the title of Benjamin Franklin in slang?
61	When did Franklins first appear on the US currency?
62	Where is the Benjamin Franklin Parkway located?
63	What was the first sign of the American constitution?
64	Where does his image appear?
65	Benjamin Franklin is often referred to as what in slang?
66	The city of Philadelphia contains around 5,000 likenesses of who?
67	How many Benjamin Franklins are located on University of Pennsylvania Campus?
68	Franklins are commonly called what?
69	What was Franklin's likeness on until 1928?
70	Who was President when the United States declared war on Spain?
71	In regards to the Spanish-American War, what historians say was the main reason for the war?
72	Who do historians say that motivated the war with Spain in 1898?
73	What is the consensus of observers in the 1890s, and historians ever since?
74	How were the Spanish respresented in Cuba prior to the American intervention?
75	How do historians describe the war in Cuba?
76	What was the basis of American policy on Cuba?
77	What caused the war with Spain?
78	What did the Americans think of Spain?
79	What if Spain didn't resolve its crisis?
80	Who were the all-defensive second team in the 2017-2018 NBA season?
81	In NBA history, what player has voted for the NBA All-Defense Second Team 4 times?
82	When was the last player to make the NBA All-Defense 2nd Team?
83	The 2009 NBA All-Defensive Second Team who were the guards?
84	Who was on the second NBA All-defensive team of 2006?
85	what players made the second team?
86	Which teams have produced the highest All-Defensive Second Team selections?
87	In addition to having been the first overall pick, who also won the NBA Most Valuable Player award in 2017?
88	Who was selected to the NBA's All-Defensive Second Team in 1989?
89	In what years were the All-Star All-Defense teams created?
90	What racial and ethnic groups are in the city?
91	What is the largest Vietnamese population in the world outside of Vietnam?
92	According to data from the 2010 census, what is the foreign-born population of San Jose?
93	In the US, what is the largest Vietnamese population?
94	What is the percentage of foreign-born residents in San Jose?
95	Which ethnic groups constitute the most part of San Jose's population?
96	What are the three ethnic groups in San Jose?
97	Who is San Jose's largest ethnic group?
98	Which countries has settled in the city and across the Santa Clara Valley since the turn of the 20th century?
99	Which countries have a high percentage of foreign-born residents?
100	Where did "Take a Bow" reach the top spot on the charts?
101	How many weeks did "Take A Bow" spend on the singles chart in Europe?
102	How did "Take A Bow" fare in the US?
103	Which is the top ranking country for Take a Bow?
104	What country did "Take A Bow" peak at number one?
105	How many weeks did it take to peak in danmark?
106	Which country has the song Take a Bow been more successful?
107	What year was Take a Bow released in?
108	The song peaked at number 12 on the Swedish singles chart in which week?
109	How long was the song Take A Bow on the Swiss Singles Chart?
110	What is the origin of the nickname trolley dodgers?
111	What year was the Brooklyn team formed?
112	Why did Brooklyn use the name trolley dodgers?
113	What was the name of the first team?
114	Who called the team the Brooklyn Dodgers?
