0	Acute and chronic activation of the mTOR pathway in a rat model of temporal lobe epilepsy.
1	We found that acute and chronic biphasic activation of the mTOR signaling pathway are involved in mechanisms of epileptogenesis.
2	Mammalian Target of Rapamycin signaling is involved in Epileptogenesis in the Kainate Rat Model.
3	mTOR signaling mediates mechanisms of epileptogenesis in a rat model of kainate-induced epilepsies.
4	Biphasic mTOR signaling is involved in initiation and progression of epileptogenesis in the kainate rat model of epilepsy.
5	Rapamycin inhibits acute and chronic phases of epileptogenesis.
6	The mammalian target of rapamycin (mTOR) signaling pathway mediates epileptogenesis in the kainate rat model.
7	mTOR inhibition blocks seizure-induced neocortical epilepsy by disrupting two distinct phases of mTOR activation.
8	The mTOR signaling pathway is involved in epileptogenesis.
9	Rapamycin reduces epileptogenesis and neurogenesis in a rat model of kainate-induced seizure activity.
10	A biomarker for human Regulatory T Cells Based on the Down-regulation of the Interleukin-7 Receptor, CD127.
11	The use of IL-7 receptor (CD127) to identify human regulatory T cells.
12	Down-regulation of IL-7R on human T reg cells.
13	Identification of a new biomarker of human T reg cells based on low expression of the IL-7 receptor, CD127.
14	A biomarker for IL-7 receptor expression on human regulatory T cells.
15	The IL-7 Receptor (CD127) Is Down-regulated on a Subset of CD4+ Regulatory T Cells in the Human Peripheral Blood.
16	We show that a subset of human CD4+ T cells characterized by down-regulation of the IL-7 receptor is highly suppressive.
17	CD127 is a useful biomarker for human regulatory T cells
18	The IL-7 receptor (CD127) is a powerful tool for identifying FoxP3+ human regulatory T cells.
19	Identification of an unrecognized marker for human T reg cells.
20	Women with a history of miscarriage may be more vulnerable to depression during the first month postpartum.
21	Women with a history of miscarriage may be more vulnerable to depression during the first month postpartum
22	Women with a history of miscarriage may be more vulnerable to depression during the first month postpartum than women without prior miscarriage, but this effect does not appear to persist beyond this time period.
23	Women with a history of miscarriage may be more vulnerable to depression during the first month postpartum
24	Women with a history of miscarriage may be more vulnerable to depression during the first month postpartum than women without prior miscarriage.
25	During the first month postpartum, women with a history of miscarriage may be more vulnerable to depression than women without prior miscarriage
26	Women with a history of miscarriage may be more vulnerable to depression during the first month postpartum than women without prior miscarriage, but this effect does not appear to persist beyond this time period.
27	Women with a history of miscarriage may be more vulnerable to depression during the first month postpartum than women without prior miscarriage
28	Women with a history of miscarriage may be more vulnerable to depression during the first month postpartum than women without prior miscarriage, but this effect does not appear to persist beyond this time period.
29	Women with a history of miscarriage may be more vulnerable to depression during the first month postpartum than women without prior miscarriage.
30	PAR-2 modulation is associated with increased MMP and COX-2 synthesis and activation of inflammatory pathways in human osteoarthritis cartilage/chondrocytes.
31	Phosphorylation of p38, JNK, and NF-B is increased in OA chondrocytes by PAR-2.
32	PAR-2 modulates signalling pathways on chondrocytes and catabolic factors in OA cartilage.
33	The PAR-2 protein is activated in OA chondrocytes in a catabolic and inflammatory response.
34	PAR-2 mediates the regulation of MMP-1 and COX-2 in OA cartilage via signalling pathways
35	Activation of PAR-2 in OA chondrocytes promotes the synthesis of catabolic factors and signalling pathways involved in inflammation.
36	The proteinase-activated receptor (PAR-2) is expressed and modulated in human osteoarthritis and is involved in the inflammatory process.
37	PAR-2 activation in chondrocytes is involved in the expression of MMPs and COX-2 and in inflammatory mediators in OA cartilage.
38	Our data demonstrate that in situ levels of PAR-2 are significantly increased in OA cartilage compared to normal chondrocytes and that PAR-2-AP modulates catabolic and inflammatory pathways in OA chondrocytes.
39	PAR-2-activated signalling pathways control MMP-1 and MMP-13 and COX-2 synthesis in OA chondrocytes.
40	CH6 Aptamer-Functionalized Lipid Nanoparticles Are a Potential Targeted Delivery System for RNAi-Based Bone Anabolism.
41	The aptamer CH6 enables RNA-mediated gene silencing in vivo via delivery to the cell.
42	Aptamer-functionalized lipid nanoparticles as novel delivery systems for RNA interference-based bone anabolic strategies
43	Aptamer-functionalized lipid nanoparticles enhance RNA interference-based bone anabolic strategies via the specific targeting of osteoblasts.
44	Chondroitin sulfate lipid nanoparticles encapsulating Plekho1 siRNA facilitate osteoblast-specific gene silencing in vivo.
45	Functionalization of lipid nanoparticles with an aptamer that targets osteoblasts could be a new way to improve bone mass by RNAi-based anabolic strategies.
46	Aptamer-functionalized lipid nanoparticles enable RNA interference-based bone anabolic strategies.
47	A novel aptamer-functionalized lipid nanoparticle delivery system targeting osteoblasts to promote bone anabolism.
48	RNA interference-based bone anabolic strategy via osteoblast-specific aptamer-functionalized lipid nanoparticles.
49	Direct osteoblast-specific delivery systems using aptamers and lipid nanoparticles
