0	Which virus caused the hepatic injury in IFNAR-deficient mice?
1	What is the role of the interferon in the pathogenesis of CCHF?
2	What do we know about the efficacy of ribavirin in vivo in this animal model?
3	What drugs were found to be effective against CCHF virus in the mouse model of infection?
4	What is the antiviral efficacy of T-705 against CCHF virus?
5	What agent was most effective in killing the virus in animals?
6	The results indicate that which of the three drugs inhibits virus replication in vitro and in vivo?
7	What was the main liver pathology in CCHF virus-infected IFNAR(/) mice?
8	What anti-CCHF drug(s) resulted in liver damage?
9	Which drug did reduce viremia and time to death in the experimental infection?
10	What is the significance of these studies on a global level?
11	Which species did this experiment?
12	What is the name of the animal that can digest cellulose in order to make more energy?
13	How much money was used for the study?
14	What was one of the issues that researchers were trying to address with the test they were using to study the effect of a single nucleotide polymorphism on the sperm?
15	What does the paper study?
16	How do they test this?
17	What is the size of the region of the brain that affects our ability to interpret visual input?
18	What was the main outcome of this experiment?
19	Is the amount of carbon in the atmosphere expected to continue to decrease?
20	What does the lack of an accessible store of information undermining the fight against?
21	How do they access the information?
22	What problem is addressed in this paper?
23	what type of research was the paper?
24	Where did the paper present the results?
25	How can access to information about H5N1 be improved?
26	What kind of information is lacking from an accessible store?
27	What does the authors believe is the biggest issue in the fight against avian flu?
28	What is the problem of the lack of an accessible store of information?
29	What is the best way for people to access and understand information on avian flu?
30	Which two foreign genes are used to generate recombinant vaccinia viruses?
31	What is the advantage of screening mutant proteins?
32	What is the nonessential gene for the vaccinia virus?
33	What is the advantage of using vaccinia virus expression systems?
34	When does virus DNA insert into the nonessential gene?
35	Vaccinia TK gene is not needed to produce what protein?
36	What is thymidine kinase?
37	What is the main advantage of the system?
38	What is the thymidine kinase gene used for?
39	What can Vaccinia-mediated expression be used for?
40	How is it possible to determine if the sand grains are moving together in their environment?
41	Which bacteria infect the body after leaving the digestive tract?
42	How can I get a copy of the paper?
43	What does the data indicate about the interaction between gene expression and methylation?
44	What was the amount of urea phosphorophosphate added to the methanol?
45	The paper suggests that the lack of information available can be mitigated by the introduction of new regulations that limit what can be deposited by companies
46	What is the average weight of a large polar bear?
47	The author states that the method can also be used in which case?
48	In what way are aphids different from spiders?
49	How are the polarized light signals generated?
50	What are some disadvantages of the classical binding assay?
51	What new study is this a part of?
52	In what virus are the new approaches developed?
53	What kind of virus is VV?
54	What is the purpose of the study?
55	What types of viruses do the methods allow the researchers to study?
56	What is the poxvirus family?
57	Is vaccinia virus a poxvirus?
58	How many viral particles were detected in each cellular membrane in the presence of vaccinia virus?
59	Why are confocal microscopy based assays useful?
60	How much of the ionized calcium carbonate and sulfate is deposited in the upper mantle and bottom mantle at different epochs?
61	How long are worms typically able to survive for in the water?
62	Why is it important to monitor human cellular respiration?
63	How does the experiment work?
64	Which two scientists used a new technique that could be applied to all mammals, the first to prove it and the second to improve upon it?
65	How much of the protein was required for the formation of a functionally mature 1 protein?
66	During which period of time does the average number of births drop?
67	What are the results of the study that measured the kinetics of HIF-1  and its interaction with the HIF-1alpha gene?
68	In which year did researchers first discover the possibility that carbon and water might be mixed?
69	Which two genes play a critical role in determining the cellular response to UV light?
70	What is the structure of the stomach?
71	What is the main topic of this chapter?
72	What are the four main systems of the digestive tract?
73	what does the intestines do in the body?
74	When was the first time a child was born with two eyes?
75	What is the main goal of this chapter?
76	What is the function of the small intestine?
77	What is the function of the gastrointestinal system?
78	What body part controls body temperature?
79	Why is the gastrointestinal system important?
80	How can pneumocystis jirovecii affect the patient?
81	What is the bacterial pathogen that can cause pneumonia in people with immune deficiency?
82	What is the most common cause of pneumonia under immunosuppression?
83	Which agents of respiratory infection are a main cause of infections among immunocompromised patients?
84	Which are the bacterial, mycobacterial, viral, parasitic, and parasitic agents can lead to Pneumonia under Immunsuppression?
85	What are a few of the bacterial, viral, parasitic, and parasitic causes of pneumonia in immunocompromised patients?
86	What is the disease spectrum of Pneumonia under immunosuppression?
87	What are the various etiologies of pneumonia in immunosuppressed patients?
88	What are the most common types of pneumonia seen in immunosuppressed people?
89	What is the bacterial, viral, and parasitic cause of pneumonias in immunosuppressed patients?
90	What is the name of the organism that can survive as a bacterium in a pond for a very long time?
91	What is the difference in the DNA synthesis rate between these two strains?
92	Where was this study performed?
93	What is one example of a truncated protein structure that has an antigenic function?
94	What does this study demonstrate for how the environment can affect the behavior of plants?
95	Why is it important to determine the temperature and the number of days that the virus has been incubated?
96	What is the main idea of the paper?
97	Which organism had a greater mean body mass?
98	In the paper they studied the effect of what on plants?
99	What is one implication of the findings?
