0	Obama nominates trial lawyer for Consumer Product Safety panel
1	Obama nominates Michigan attorney to the consumer product safety panel
2	Obama nominates Michigan lawyer for Consumer Product Safety Commission
3	Obama Nominates Michigan Lawyer to Consumer Product Safety Panel
4	Obama names lawyer to Consumer Product Safety Commission
5	Obama Picks Michigan Lawyer to Fill CPS Chair
6	Obama names lawyer to Consumer Product Safety Commission
7	Consumer product safety commission gets new face
8	Obama nominates lawyer from Michigan to CPSC
9	Obama nominates a Michigan lawyer to Consumer Product Safety Commission
10	Don't run misleading third-party political ads
11	Can Abraham Lincoln have been elected president if current political advertising model existed in 1864?
12	If Lincoln had been a Democrat, would he have been elected?
13	‘Stand by Your Ad’ Campaign Targets Third-Party Political Ads
14	'FlackCheck' wants stations to refuse to air third-party ads that are misleading
15	Political ad campaign calls on TV stations to refuse misleading or false third-party ads
16	FCC: We can't air third-party ads that are false, misleading or innacurate
17	'Stand by Your Ad': Website encourages people to send TV stations an e-mail
18	'FlackCheck' website to help viewers stop political ads that are misleading
19	Third-party ads are fine. But they can be misleading
20	A Message to Iraq Veterans
21	Don't lecture veterans
22	Driving With Support for Troops
23	You want to support the troops?
24	Support for the Troops
25	âGot a Job?â Thatâs What Iâd Offer Our Troopsâ
26	Support Our Troops By Giving Them Some Space
27	When a Veteran Returns
28	We support our troops, but don’t be surprised if your veteran has some problems
29	Support Our Troops
30	Terps coach tries to raise money for men’s team while coaching U.S. team
31	Valmon to take on three hats for USATF
32	Former Terps coach now leading U.S. track team
33	Valmon juggling life with U.S. track team, his Terps program
34	Coach's world is in turmoil as Olympic hopefuls prepare for trials
35	UM coach Valmon's life has been a juggling act
36	The Juggling Act
37	Valmon: Olympic Trials, Money, Program Among Ups, Downs
38	Olympic track coach's future hanging in the balance
39	Valmon a juggling act
40	AIDS conference opens with calls for action to combat the disease
41	AIDS Can Be Stopped, But First, a Little More Money
42	AIDS Conference Opens With Hope for End to Epidemic
43	International AIDS Conference in Washington Opens
44	AIDS is an end goal, if money is directed correctly
45	World AIDS Conference opens with message that AIDS can be stopped
46	AIDS activists, activists called to act!
47	AIDS can be conquered, AIDS activists say
48	Aids Activists Face the Reality of a New Epidemic
49	AIDS Can Be Ended, Scientists Say - Washington Post
50	The Rise of Thoroughbreds Isn’t in the U.S.; It’s in Britain, Australia and Japan
51	Thoroughbreds Are in Ascent in Europe and Japan
52	British Horses Are Best in World
53	British Racehorses Are Best in the World
54	Racing Is a Sport in the U.S., But a Profession in Britain
55	The Decline of the American Thoroughbred Is Just the Beginning
56	Britain Has Better Thoroughbreds
57	The Thoroughbred Has Never Been in Better Shape than Now
58	The Ascendancy of Thoroughbred Racing in Britain
59	America Has Few Stars. Britain Has Many.
60	"Isaac's Army" by Matthew Brzezinski
61	The Warsaw Ghetto 'Isaac's Army' By Matthew Brzezinski
62	'Isaac's Army: Resistance in the Warsaw Ghetto'
63	'Isaac's Army,' by Matthew Brzezinski &#8212; Book Review
64	The Nazis torn through Warsaw, but not the Jews who survived
65	Isaaks Army; The Surprising Truth Behind the Warsaw Ghetto, By Matthew Brzezinski
66	Review: The Warsaw Ghetto
67	Isaac’s Army: The Story of the Warsaw Ghetto’s Rebels (Broadway Books, $26)
68	“Isaac’s Army” Explores the Survival of Warsaw Jews, Even During the Holocaust
69	Isaac’s Army: A Survival Story from the Warsaw Ghetto
70	Matthias Pintscher
71	Matthias Pintscher
72	Pintscher in Concert (Washington Post)
73	Matthias Pintscher: a European composer devoted to the visual arts
74	Matthias Pintscher Is Not Known in D.C. : The Washington Post
75	Matthias Pintscher, in Phillips Collection, a welcome (re)introduction to one of Europe’s leading lights
